Quantity,Vendor Part Number,DNP,Designator

"1","296-21805-1-ND","","U3"
"1","296-49460-1-ND","","U9"
"1","296-50395-1-ND","","U1"
"1","Archer +","","U4"
"1","CAT24C256WI-GT3OSCT-ND","","U7"
"1","M74VHC1GT14DFT2GOSCT-ND","","U6"
"1","Yost Lab 3 Space Sensor","","U2"
"10","336-4490-1-ND","","U5_FET1, U5_FET2, U5_FET3, U5_FET4, U5_FET5, U5_FET6, U5_FET7, U5_FET8, U5_FET9, U5_FET10"
"11","","","J1_FET1, J1_FET2, J1_FET3, J1_FET4, J1_FET5, J1_FET6, J1_FET7, J1_FET8, J1_FET9, J1_FET10, J6"
"1","1276-3047-1-ND","","C15"
"15","1276-1838-1-ND","","C1, C3, C5, C7, C11, C13_FET1, C13_FET2, C13_FET3, C13_FET4, C13_FET5, C13_FET6, C13_FET7, C13_FET8, C13_FET9, C13_FET10"
"17","1276-6736-1-ND","","C2, C4, C6, C8, C9, C10, C12, C14_FET1, C14_FET2, C14_FET3, C14_FET4, C14_FET5, C14_FET6, C14_FET7, C14_FET8, C14_FET9, C14_FET10"
"1","95278-101-46LF","","P8"
"1","95278-101-46LF","","P9"
"1","MCP6284-E/SL-ND","","U8"
"1","","DNP","CommsDisable"
"12","WM14584-ND","","5V, FAN, SSR_FET1, SSR_FET2, SSR_FET3, SSR_FET4, SSR_FET5, SSR_FET6, SSR_FET7, SSR_FET8, SSR_FET9, SSR_FET10"
"3","900-2068320202-ND","","PWR1, PWR2, Vbat"
"3","WM10681-ND","","BMS, RS485, TelemRadio"
"4","WM7499-ND","","A0, A1, A2, A3"
"1","445-2979-1-ND","","L1"
"1","SSM3K339RLFCT-ND","","Q2"
"10","1727-8475-1-ND","","Q1_FET1, Q1_FET2, Q1_FET3, Q1_FET4, Q1_FET5, Q1_FET6, Q1_FET7, Q1_FET8, Q1_FET9, Q1_FET10"
"1","SSM3J338RLFCT-ND","","Q3"
"1","311-150LRCT-ND","","R38"
"1","311-200LRCT-ND","","R35"
"14","YAG3256CT-ND","","R15, R16, R17, R18, R36_FET1, R36_FET2, R36_FET3, R36_FET4, R36_FET5, R36_FET6, R36_FET7, R36_FET8, R36_FET9, R36_FET10"
"2","311-0.0LRCT-ND","","R8, R20"
"2","RC0402FR-071K65L","","R11, R37"
"23","311-60.4LRCT-ND","","R1_FET1, R1_FET2, R1_FET3, R1_FET4, R1_FET5, R1_FET6, R1_FET7, R1_FET8, R1_FET9, R1_FET10, R9, R10, R22_FET1, R22_FET2, R22_FET3, R22_FET4, R22_FET5, R22_FET6, R22_FET7, R22_FET8, R22_FET9, R22_FET10, R25"
"3","311-2.49KLRCT-ND","","R32, R33, R34"
"3","YAG3043CT-ND","","R12, R13, R14"
"5","311-4.7KLRCT-ND","","R6, R19, R23, R24, R31"
"6","311-0.0LRCT-ND","DNP","R7, R21, R27, R28, R29, R30"
"25","36-5006-ND","","TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP23, TP24, TP25, TP26, TP27, TP28"
"10","D12V0H1U2LP1610-7DIDKR-ND","","D3_FET1, D3_FET2, D3_FET3, D3_FET4, D3_FET5, D3_FET6, D3_FET7, D3_FET8, D3_FET9, D3_FET10"
"10","V2PM12HM3/HGICT-ND","","D1_FET1, D1_FET2, D1_FET3, D1_FET4, D1_FET5, D1_FET6, D1_FET7, D1_FET8, D1_FET9, D1_FET10"
"3","F10154CT-ND","","D11, D17, D18"
"9","641-1764-1-ND","","D9, D10, D12, D13, D14, D15, D16, D19, D20"
"14","732-11991-1-ND","","D4_FET1, D4_FET2, D4_FET3, D4_FET4, D4_FET5, D4_FET6, D4_FET7, D4_FET8, D4_FET9, D4_FET10, D5, D6, D7, D8"
